Date,Sales_USD
2018-01-04,58692.77000000330
2018-01-05,44149.35000000150
2018-01-06,84413.66999999430
2018-01-07,64571.27000000330
2018-01-08,60969.14999999850
2018-01-09,56341.340000003600
2018-01-10,52558.0700000003
2018-01-11,54745.12999999520
2018-01-12,64062.78000000120
2018-01-13,62681.13000000270
2018-01-14,83404.26999999580
2018-01-15,50101.70000000300
2018-01-16,56630.13000000270
2018-01-17,46103.739999994600
2018-01-18,53919.410000003900
2018-01-19,83211.25999999790
2018-01-20,151992.06000000200
2018-01-21,64576.589999996100
2018-01-22,48246.4299999997
2018-01-23,45114.359999999400
2018-01-24,47900.10000000150
2018-01-25,38208.75
2018-01-26,49905.13000000270
2018-01-27,53967.6799999997
2018-01-28,70051.13000000270
2018-01-29,45014.11999999730
2018-01-30,56218.4299999997
