Collection,Datetime_updated_seconds,Price_USD
Axie,2018-12-14 09:56:30,3.3755559
Axie,2018-12-14 06:00:10,2.5323
Axie,2018-12-14 00:19:09,2.44789
Axie,2018-12-13 23:15:21,6.023564236111112
Axie,2018-12-13 22:59:15,4.243155000000001
Axie,2018-12-13 22:49:36,2.152913063368056
Axie,2018-12-13 22:48:16,6.461049392361112
Axie,2018-12-13 22:30:59,6.728150868055555
Axie,2018-12-13 22:16:13,2.59785
Axie,2018-12-13 22:13:03,3.171772394097223
Axie,2018-12-13 21:31:51,4.32975
Axie,2018-12-13 20:09:20,4.654381024305557
Axie,2018-12-13 19:54:30,2.164875
Axie,2018-12-13 19:50:53,6.494625
Axie,2018-12-13 19:46:09,2.164875
Axie,2018-12-13 19:46:01,2.164875
Axie,2018-12-13 19:42:10,2.164875
Axie,2018-12-13 19:39:08,8.65620687003968
Axie,2018-12-13 19:35:40,2.164875
Axie,2018-12-13 19:31:04,9.351307855902778
Axie,2018-12-13 19:28:19,4.756601210069444
Axie,2018-12-13 19:28:30,4.331883404131943
Axie,2018-12-13 18:12:24,2.5106822817460315
Axie,2018-12-13 18:10:55,2.6371865805555554
Axie,2018-12-13 17:32:36,8.441659453125
Axie,2018-12-13 17:15:27,43.29749999999999
Axie,2018-12-13 16:32:22,4.578154372395833
Axie,2018-12-13 16:23:44,3.4638
Axie,2018-12-13 16:22:07,4.32975
Axie,2018-12-13 15:51:21,1.7319
Axie,2018-12-13 14:52:41,3.775915841840277
Axie,2018-12-13 14:46:56,3.744682508680557
Axie,2018-12-13 13:44:49,121.233
Axie,2018-12-13 12:10:02,3.4638
Axie,2018-12-13 11:22:23,2.164875
Axie,2018-12-13 10:03:49,2.59785
Axie,2018-12-13 08:42:46,2.59785
Axie,2018-12-13 07:35:54,1.7319
Axie,2018-12-13 06:11:34,1.714581
Axie,2018-12-13 05:04:43,7.1701361579861125
Axie,2018-12-13 05:01:22,3.875928055555556
Axie,2018-12-13 05:00:26,2.912929515625
Axie,2018-12-13 04:55:59,4.356097330555556
Axie,2018-12-13 04:51:04,1.0822415587673613
Axie,2018-12-13 03:36:45,2.7985820208333334
Axie,2018-12-13 01:05:15,7.79355
Axie,2018-12-13 00:45:58,4.32975
Axie,2018-12-13 00:33:11,4.6591417447916665
Axie,2018-12-13 00:23:29,4.2487876840277785
Axie,2018-12-12 22:01:25,3.895004722222221
Axie,2018-12-12 18:23:39,2.724
Axie,2018-12-12 16:45:59,227.0
Axie,2018-12-12 15:29:09,2.6332
Axie,2018-12-12 15:24:00,2.724
Axie,2018-12-12 15:10:55,2.724
Axie,2018-12-12 13:46:16,5.503984325396826
Axie,2018-12-12 10:45:29,3.6183642361111112
Axie,2018-12-12 09:35:57,1.8433240740740744
Axie,2018-12-12 06:00:35,2.27
Axie,2018-12-12 03:03:58,2.6332
Axie,2018-12-12 01:47:20,6.81
Axie,2018-12-11 23:56:41,3.73338
Axie,2018-12-11 20:44:12,5.3334
Axie,2018-12-11 19:50:22,4.4445000000000014
Axie,2018-12-11 15:34:55,1.7778
Axie,2018-12-11 14:32:51,8.889000000000003
Axie,2018-12-11 14:32:51,8.889000000000003
Axie,2018-12-11 11:35:21,26.667
Axie,2018-12-11 09:52:48,3.2755285979166664
Axie,2018-12-11 09:49:26,5.767500076388887
Axie,2018-12-11 08:44:03,1.95558
Axie,2018-12-11 05:59:38,2.865323881944444
Axie,2018-12-11 05:11:58,4.4445000000000014
Axie,2018-12-11 05:05:28,7.848025053819443
Axie,2018-12-11 03:50:35,3.744511826388889
Axie,2018-12-11 02:55:27,2.2249968450347226
Axie,2018-12-11 02:08:33,115.557
Axie,2018-12-11 01:35:58,3.1111500000000003
Axie,2018-12-11 00:58:03,20.00025
Axie,2018-12-10 22:32:37,4.925578964120372
Axie,2018-12-10 22:23:28,3.626
Axie,2018-12-10 19:19:33,2.7195
Axie,2018-12-10 17:24:01,2.7195
Axie,2018-12-10 16:42:50,2.7195
Axie,2018-12-10 16:26:41,8.957153778935186
Axie,2018-12-10 16:26:47,8.9756842546875
Axie,2018-12-10 14:56:29,13.5975
Axie,2018-12-10 14:46:57,23.95064279513889
Axie,2018-12-10 14:42:18,7.821164490740743
Axie,2018-12-10 14:39:56,9.162181206597223
Axie,2018-12-10 09:03:14,1.813
Axie,2018-12-10 08:59:31,1.813
Axie,2018-12-10 07:42:01,30.231857436342597
Axie,2018-12-10 06:55:43,25.96695479745371
Axie,2018-12-10 03:29:15,2.7195
Axie,2018-12-10 03:00:50,72.52000000000002
Axie,2018-12-10 02:25:46,42.63251663773149
Axie,2018-12-10 02:25:42,45.325
Axie,2018-12-10 02:16:10,1.813
Axie,2018-12-10 01:38:53,2.7195
Axie,2018-12-10 01:12:43,4.5325000000000015
Axie,2018-12-09 22:19:31,28.6335
Axie,2018-12-09 21:29:06,33.40575
Axie,2018-12-09 21:28:46,18.085322915625
Axie,2018-12-09 21:28:10,28.6335
Axie,2018-12-09 20:27:03,28.6335
Axie,2018-12-09 17:15:35,4.77225
Axie,2018-12-09 16:42:02,1.9089
Axie,2018-12-09 11:49:59,2.86335
Axie,2018-12-09 11:45:58,1.9089
Axie,2018-12-09 11:33:45,2.386125
Axie,2018-12-09 11:32:55,2.386125
Axie,2018-12-09 11:32:55,2.875004453125
Axie,2018-12-09 11:04:25,33.40575
Axie,2018-12-09 10:56:43,47.72249999999999
Axie,2018-12-09 10:41:26,57.267
Axie,2018-12-09 10:28:02,4.77225
Axie,2018-12-09 10:21:26,4.77225
